service,description
ec2,run a long-lived application on configurable virtual servers
ec2,provision virtual machines with a chosen operating system and instance size
ec2,host software that requires administrator access to the underlying server
ec2,scale a fleet of general-purpose compute instances as demand changes
ec2,run a GPU-accelerated workload on a virtual machine
ec2,launch compute instances from a reusable machine image
ec2,attach persistent block storage to a virtual server
ec2,operate a Windows server in the cloud
ec2,I need full control over the operating system for my application server
ec2,I want to lift and shift an existing server-based application
ec2,I need an always-running process that is not limited to short function invocations
ec2,I want to connect over SSH and install my own system packages
ec2,I need virtual servers that can automatically scale behind a load balancer
ec2,I want spare compute capacity at a discounted price for fault-tolerant jobs
ec2,I need a dedicated physical host for server-bound software licences
ec2,I want a predictable virtual machine for a self-managed database
ec2,provide resizable compute capacity with selectable CPU and memory
ec2,run a custom network appliance on a cloud instance
ec2,create an autoscaling group of identical virtual servers
ec2,reserve compute capacity for a workload that must launch when needed
ec2,deploy a high-performance computing job across compute instances
ec2,start and stop development servers without buying physical hardware
ec2,configure instance networking and security groups for a server workload
ec2,run software that needs a custom kernel or low-level operating system settings
lambda,run code in response to an event without provisioning servers
lambda,execute a small function whenever a new object is uploaded
lambda,build a serverless backend function that scales automatically
lambda,invoke application code from an HTTP API without running a web server
lambda,process messages with short-lived event-driven functions
lambda,run a scheduled piece of code without maintaining a host
lambda,automatically execute code when a database stream receives a change
lambda,pay only for the compute time used by individual function invocations
lambda,I need code to run whenever a user submits a form
lambda,I want to resize an image automatically after it is uploaded
lambda,I need a lightweight webhook handler without an always-on server
lambda,I want a function to consume queue messages and scale with the queue
lambda,I need to validate incoming events with a short Python function
lambda,I want to trigger code from changes in cloud resources
lambda,I need bursty compute that can scale down when no events arrive
lambda,I want to automate a brief maintenance action without managing infrastructure
lambda,create an event source mapping that invokes code for new records
lambda,deploy stateless functions with managed runtime patching and scaling
lambda,run independent handlers for asynchronous application events
lambda,process uploaded files with an event-triggered function
lambda,execute backend logic using a managed language runtime
lambda,configure reserved concurrency for a serverless function
lambda,publish versioned functions and direct traffic through aliases
lambda,run code from a container image as an on-demand function
s3,store and retrieve large numbers of files as durable objects
s3,keep unstructured data in buckets using unique object keys
s3,provide scalable object storage without managing storage servers
s3,store static website assets such as images style sheets and downloads
s3,create a durable landing zone for a cloud data lake
s3,retain multiple versions of uploaded objects
s3,move older objects to lower-cost storage using lifecycle rules
s3,replicate object data to another region for resilience
s3,I need a place to upload and download millions of files
s3,I want durable backup storage addressed through an API rather than a mounted drive
s3,I need to archive infrequently accessed documents at a lower storage cost
s3,I want users to upload objects through time-limited signed links
s3,I need to store logs and analytical files in a central bucket
s3,I want to protect objects from accidental deletion with versioning
s3,I need encrypted object storage for application assets
s3,I want to host downloadable media files without maintaining a file server
s3,manage objects and their metadata inside named buckets
s3,apply retention policies and legal holds to stored objects
s3,copy objects automatically between buckets in different regions
s3,store Parquet JSON and CSV files for later analytics
s3,serve private objects through controlled API access
s3,track object inventory and storage-class usage across buckets
s3,receive events when objects are created or deleted in a bucket
s3,store immutable backup copies with write-once-read-many controls
efs,provide a shared file system that multiple Linux servers can mount
efs,store files on elastic NFS storage that grows and shrinks automatically
efs,give several compute instances concurrent access to the same directories
efs,use POSIX file permissions on managed shared storage
efs,mount the same regional file system from multiple availability zones
efs,replace a self-managed network file server with elastic managed storage
efs,share persistent files between container tasks
efs,provide persistent home directories for a fleet of Linux hosts
efs,I need multiple application servers to read and write the same files
efs,I want a mounted drive with normal folders rather than object-storage APIs
efs,I need an NFS file share without pre-provisioning storage capacity
efs,I want legacy software to use a shared POSIX file system in the cloud
efs,I need a common content directory for horizontally scaled web servers
efs,I want file storage that automatically expands as users add files
efs,I need shared training data mounted by several compute workers
efs,I want persistent shared storage for serverless container workloads
efs,create mount targets so clients can access a regional file system
efs,use access points to give applications controlled paths into shared storage
efs,support concurrent NFS reads and writes from many clients
efs,apply Unix ownership and permission semantics to managed cloud files
efs,move an on-premises NFS workload to fully elastic file storage
efs,store application files that require file locking and hierarchical directories
efs,share a common file namespace across compute instances
efs,automatically transition infrequently accessed files to a cheaper storage class
rds,run a managed relational database without handling routine administration
rds,host a SQL database with automated backups and patching
rds,create a managed PostgreSQL database instance
rds,operate a transactional database with tables joins and foreign keys
rds,deploy a relational database across availability zones for high availability
rds,add read replicas to scale read-heavy relational queries
rds,restore a managed database to a specific point in time
rds,resize database compute and storage as an application grows
rds,I need a managed MySQL database for a web application
rds,I want ACID transactions and SQL without administering the database host
rds,I need automatic database snapshots and recovery
rds,I want a standby database in another availability zone for failover
rds,I need an Oracle database engine managed in the cloud
rds,I want to migrate a traditional relational application database
rds,I need a SQL Server database with managed infrastructure
rds,I want to connect using standard relational database drivers
rds,provision a database instance running an industry-standard relational engine
rds,manage database parameter groups and maintenance windows
rds,encrypt a managed relational database and its backups
rds,scale read traffic using replicated database instances
rds,monitor a managed relational database while retaining SQL compatibility
rds,perform point-in-time recovery from automated transaction log backups
rds,use Multi-AZ deployment for managed relational database resilience
rds,separate application compute from a managed SQL database endpoint
dynamodb,store key-value and document data in a serverless NoSQL database
dynamodb,retrieve application records quickly by partition key
dynamodb,scale a low-latency database automatically for unpredictable traffic
dynamodb,store flexible-schema items without relational joins
dynamodb,build a high-volume session store using key-based access
dynamodb,replicate a NoSQL table across regions for globally distributed access
dynamodb,expire temporary records automatically using item time-to-live values
dynamodb,capture a stream of item-level changes from a NoSQL table
dynamodb,I need a shopping cart database that can handle sudden traffic spikes
dynamodb,I want millisecond access to items using a primary key
dynamodb,I need a serverless database for JSON-like documents
dynamodb,I want a database table that does not require a fixed schema for every item
dynamodb,I need to store user sessions without managing database servers
dynamodb,I want to query records by partition key and sort key
dynamodb,I need automatic scaling for a key-value workload
dynamodb,I want a globally replicated table for users in several regions
dynamodb,design a NoSQL table around partition and sort key access patterns
dynamodb,perform conditional writes to prevent conflicting item updates
dynamodb,create secondary indexes for alternate key-based query patterns
dynamodb,process table changes from an ordered change stream
dynamodb,use on-demand capacity for a workload with unpredictable request volume
dynamodb,store idempotency keys with automatic expiration
dynamodb,perform atomic counters and transactions across NoSQL items
dynamodb,back up and restore a fully managed distributed NoSQL table
cloudfront,cache web content at global edge locations to reduce latency
cloudfront,deliver static and dynamic website content through a content delivery network
cloudfront,serve images videos and JavaScript from locations close to users
cloudfront,reduce traffic to an origin server by caching responses at the edge
cloudfront,distribute content globally from an object-storage or HTTP origin
cloudfront,use signed URLs to restrict access to private cached content
cloudfront,invalidate cached files after publishing a new website version
cloudfront,terminate HTTPS connections at a global content-delivery edge
cloudfront,I need my website assets to load quickly for users around the world
cloudfront,I want to cache downloads close to viewers instead of serving every request from the origin
cloudfront,I need a global distribution in front of a storage bucket
cloudfront,I want to stream media through edge locations with low latency
cloudfront,I need a custom domain and certificate for globally cached content
cloudfront,I want to keep an origin private while delivering selected content globally
cloudfront,I need edge caching for both static files and dynamic HTTP responses
cloudfront,I want to control cache behaviour by URL path
cloudfront,route viewer requests to the lowest-latency edge location
cloudfront,configure cache policies for headers cookies and query strings
cloudfront,protect an origin from direct public access while using a distribution
cloudfront,deliver different cached behaviours from multiple origins
cloudfront,collect access logs for requests served by a global edge network
cloudfront,use geographic restrictions for content delivered through edge locations
cloudfront,compress web objects before delivering them to viewers
cloudfront,run lightweight request or response logic at the content-delivery edge
iam,control which identities can perform actions on cloud resources
iam,grant least-privilege permissions using JSON access policies
iam,create roles that applications can assume for temporary credentials
iam,manage users groups roles and permissions for an account
iam,allow one account to assume a role in another account
iam,require conditions before authorizing access to a resource
iam,set a permissions boundary that limits the maximum access a role can receive
iam,use an instance role instead of storing credentials on a virtual server
iam,I need to let developers read storage objects but not delete them
iam,I want an application to obtain temporary credentials without embedded access keys
iam,I need separate permissions for administrators auditors and developers
iam,I want to deny access unless a request comes from an approved network
iam,I need to delegate access across cloud accounts
iam,I want to attach the same permission policy to a group of users
iam,I need to review which actions a principal is allowed to perform
iam,I want workload identities to assume roles rather than use long-lived keys
iam,define identity-based and resource-based authorization policies
iam,use policy conditions and tags for attribute-based access control
